,dates,T,T_est
270,2017-12-21 16:00:08,12.534933333333333,12.005616988454547
271,2017-12-21 17:21:48,11.89,11.079187661409378
272,2017-12-21 18:43:28,11.796125925925926,10.919728085893025
273,2017-12-21 20:05:08,,
274,2017-12-21 21:26:48,,
275,2017-12-21 22:48:28,,
276,2017-12-22 00:10:08,,
277,2017-12-22 01:31:48,,
278,2017-12-22 02:53:28,,
279,2017-12-22 04:15:08,,
280,2017-12-22 05:36:48,,
281,2017-12-22 06:58:28,,
282,2017-12-22 08:20:08,10.752607407407407,10.759250154003713
283,2017-12-22 09:41:48,11.09,10.140424673046384
284,2017-12-22 11:03:28,11.77,10.643621487276894
285,2017-12-22 12:25:08,11.552092063492063,11.807826605710117
286,2017-12-22 13:46:48,11.229314285714285,11.590183797508779
287,2017-12-22 15:08:28,10.968222222222222,10.910668805241585
288,2017-12-22 16:30:08,11.862311111111111,9.428625106811523
289,2017-12-22 17:51:48,14.636228888888889,12.772459427397964
290,2017-12-22 19:13:28,14.697025185185185,12.698697749048613
291,2017-12-22 20:35:08,,
292,2017-12-22 21:56:48,,
293,2017-12-22 23:18:28,,
294,2017-12-23 00:40:08,,
295,2017-12-23 02:01:48,,
296,2017-12-23 03:23:28,,
297,2017-12-23 04:45:08,,
298,2017-12-23 06:06:48,,
299,2017-12-23 07:28:28,15.24419185185185,12.03484264390446
300,2017-12-23 08:50:08,15.29,11.664643270628792
301,2017-12-23 10:11:48,14.301066666666667,10.202575274876185
302,2017-12-23 11:33:28,13.9,11.478880405426025
303,2017-12-23 12:55:08,15.02,13.40271235903104
304,2017-12-23 14:16:48,15.35,13.668976511274066
305,2017-12-23 15:38:28,14.49,11.980476943509919
306,2017-12-23 17:00:08,13.29,12.009296749319349
307,2017-12-23 18:21:48,13.255466666666665,11.703254822941753
308,2017-12-23 19:43:28,13.201022222222221,11.771679435013596
309,2017-12-23 21:05:08,,
310,2017-12-23 22:26:48,,
311,2017-12-23 23:48:28,,
312,2017-12-24 01:10:08,,
313,2017-12-24 02:31:48,,
314,2017-12-24 03:53:28,,
315,2017-12-24 05:15:08,,
316,2017-12-24 06:36:48,,
317,2017-12-24 07:58:28,12.711022222222221,12.387500943660172
318,2017-12-24 09:20:08,14.5624,10.954628625086375
319,2017-12-24 10:41:48,14.012066666666666,11.824988701513835
320,2017-12-24 12:03:28,13.967866666666666,10.573751313345772
321,2017-12-24 13:25:08,10.839733333333333,11.312700444459916
322,2017-12-24 14:46:48,10.84,12.667736304657799
323,2017-12-24 16:08:28,13.146733333333334,14.171496161392756
324,2017-12-24 17:30:08,13.130525925925927,13.587096465142418
325,2017-12-24 18:51:48,13.452655555555555,13.558259074156883
326,2017-12-24 20:13:28,,
327,2017-12-24 21:35:08,,
328,2017-12-24 22:56:48,,
329,2017-12-25 00:18:28,,
330,2017-12-25 01:40:08,,
331,2017-12-25 03:01:48,,
332,2017-12-25 04:23:28,,
333,2017-12-25 05:45:08,,
334,2017-12-25 07:06:48,16.35182222222222,13.298722555287076
335,2017-12-25 08:28:28,16.67395185185185,13.269885164301542
336,2017-12-25 09:50:08,17.06,14.114280666623797
337,2017-12-25 11:11:48,16.4,13.893236011266708
338,2017-12-25 12:33:28,17.78,16.85239796638489
339,2017-12-25 13:55:08,16.412688888888887,14.413774856499263
340,2017-12-25 15:16:48,16.2316,14.998466065951757
341,2017-12-25 16:38:28,16.26331111111111,13.488689927118164
342,2017-12-25 18:00:08,16.116429629629632,11.455880337134356
343,2017-12-25 19:21:48,15.971244444444446,11.493318872570427
344,2017-12-25 20:43:28,,
345,2017-12-25 22:05:08,,
346,2017-12-25 23:26:48,,
347,2017-12-26 00:48:28,,
348,2017-12-26 02:10:08,,
349,2017-12-26 03:31:48,,
350,2017-12-26 04:53:28,,
351,2017-12-26 06:15:08,,
352,2017-12-26 07:36:48,14.664577777777778,11.830265691495054
353,2017-12-26 08:58:28,14.57,9.887361867087227
354,2017-12-26 10:20:08,15.063066666666666,10.723878285714559
355,2017-12-26 11:41:48,14.99,13.417802770222936
356,2017-12-26 13:03:28,13.946311111111111,13.477570406595866
357,2017-12-26 14:25:08,14.24,12.556361283574786
358,2017-12-26 15:46:48,13.45,12.259321314947945
359,2017-12-26 17:08:28,13.71,9.876150584646634
360,2017-12-26 18:30:08,13.607773333333334,10.719120739195585
361,2017-12-26 19:51:48,13.46894,10.650365480243877
362,2017-12-26 21:13:28,,
363,2017-12-26 22:35:08,,
364,2017-12-26 23:56:48,,
365,2017-12-27 01:18:28,,
366,2017-12-27 02:40:08,,
367,2017-12-27 04:01:48,,
368,2017-12-27 05:23:28,,
369,2017-12-27 06:45:08,,
370,2017-12-27 08:06:48,12.219439999999999,10.031568149678515
371,2017-12-27 09:28:28,12.284377777777777,12.085413441061974
372,2017-12-27 10:50:08,14.294355555555555,11.964160799980164
373,2017-12-27 12:11:48,14.283466666666666,12.748453751206398
374,2017-12-27 13:33:28,14.270133333333334,12.074514265571322
375,2017-12-27 14:55:08,14.96,11.793804862669536
376,2017-12-27 16:16:48,13.75,12.69431185722351
377,2017-12-27 17:38:28,14.69633111111111,12.803444863071938
378,2017-12-27 19:00:08,14.660942222222221,12.66944013641909
379,2017-12-27 20:21:48,,
380,2017-12-27 21:43:28,,
381,2017-12-27 23:05:08,,
382,2017-12-28 00:26:48,,
383,2017-12-28 01:48:28,,
384,2017-12-28 03:10:08,,
385,2017-12-28 04:31:48,,
386,2017-12-28 05:53:28,,
387,2017-12-28 07:15:08,14.342442222222223,11.463397596543434
388,2017-12-28 08:36:48,14.31,11.243030003138951
389,2017-12-28 09:58:28,14.19596926713948,10.899439105423063
390,2017-12-28 11:20:08,14.036690307328605,10.892483228724592
391,2017-12-28 12:41:48,13.87741134751773,10.885527352026118
392,2017-12-28 14:03:28,13.718132387706856,10.878571475327647
393,2017-12-28 15:25:08,13.558853427895981,10.871615598629173
394,2017-12-28 16:46:48,13.399574468085106,10.864659721930702
395,2017-12-28 18:08:28,13.240295508274233,10.85770384523223
396,2017-12-28 19:30:08,13.081016548463356,10.850747968533756
397,2017-12-28 20:51:48,,
398,2017-12-28 22:13:28,,
399,2017-12-28 23:35:08,,
400,2017-12-29 00:56:48,,
401,2017-12-29 02:18:28,,
402,2017-12-29 03:40:08,,
403,2017-12-29 05:01:48,,
404,2017-12-29 06:23:28,,
405,2017-12-29 07:45:08,11.647505910165485,10.788145078247506
406,2017-12-29 09:06:48,11.587200000000001,10.81075883763177
407,2017-12-29 10:28:28,11.271977777777778,11.620345128434044
408,2017-12-29 11:50:08,11.51,11.464314903531756
409,2017-12-29 13:11:48,11.309466666666667,11.46548929810524
410,2017-12-29 14:33:28,10.71,11.812967777252197
411,2017-12-29 15:55:08,11.23,9.50480030477047
412,2017-12-29 17:16:48,11.83,11.279743313789368
413,2017-12-29 18:38:28,11.760011851851852,11.47274950662213
414,2017-12-29 20:00:08,,
415,2017-12-29 21:21:48,,
416,2017-12-29 22:43:28,,
417,2017-12-30 00:05:08,,
418,2017-12-30 01:26:48,,
419,2017-12-30 02:48:28,,
420,2017-12-30 04:10:08,,
421,2017-12-30 05:31:48,,
422,2017-12-30 06:53:28,,
423,2017-12-30 08:15:08,10.925197037037037,9.915919175998294
424,2017-12-30 09:36:48,10.994866666666667,10.633616745471954
425,2017-12-30 10:58:28,11.61351111111111,10.382307804056577
426,2017-12-30 12:20:08,10.643733333333333,9.985309089933123
427,2017-12-30 13:41:48,11.076533333333334,11.185679020626205
428,2017-12-30 15:03:28,11.863466666666666,11.105804886136736
429,2017-12-30 16:25:08,11.944177777777778,14.987917031560626
430,2017-12-30 17:46:48,12.330879999999999,12.219078185857756
431,2017-12-30 19:08:28,12.189324444444445,12.055390245470955
432,2017-12-30 20:30:08,,
433,2017-12-30 21:51:48,,
434,2017-12-30 23:13:28,,
435,2017-12-31 00:35:08,,
436,2017-12-31 01:56:48,,
437,2017-12-31 03:18:28,,
438,2017-12-31 04:40:08,,
439,2017-12-31 06:01:48,,
440,2017-12-31 07:23:28,10.915324444444446,10.582198781989762
441,2017-12-31 08:45:08,10.8,10.728361027581352
442,2017-12-31 10:06:48,12.096133333333333,10.319004688944135
443,2017-12-31 11:28:28,11.47,13.132794292909757
444,2017-12-31 12:50:08,11.06,12.18517537911733
445,2017-12-31 14:11:48,10.28,11.448530237589564
446,2017-12-31 15:33:28,12.5,12.277351179293223
447,2017-12-31 16:55:08,12.501844444444446,10.834755352565221
448,2017-12-31 18:16:48,12.70696,11.485482039609792
449,2017-12-31 19:38:28,12.841256296296297,11.540759588446097
450,2017-12-31 21:00:08,,
451,2017-12-31 22:21:48,,
452,2017-12-31 23:43:28,,
453,2018-01-01 01:05:08,,
454,2018-01-01 02:26:48,,
455,2018-01-01 03:48:28,,
456,2018-01-01 05:10:08,,
457,2018-01-01 06:31:48,,
458,2018-01-01 07:53:28,14.049922962962963,12.03825752797285
459,2018-01-01 09:15:08,11.597866666666667,9.5997315879379
460,2018-01-01 10:36:48,9.449733333333333,9.574358522891998
461,2018-01-01 11:58:28,13.85,13.00884259385722
462,2018-01-01 13:20:08,13.939733333333333,11.619261538982391
463,2018-01-01 14:41:48,14.14,11.087810290711266
464,2018-01-01 16:03:28,14.813466666666667,11.940903459276472
465,2018-01-01 17:25:08,14.08,11.676501446536609
466,2018-01-01 18:46:48,14.176426666666666,11.601848271220781
467,2018-01-01 20:08:28,,
468,2018-01-01 21:30:08,,
469,2018-01-01 22:51:48,,
470,2018-01-02 00:13:28,,
471,2018-01-02 01:35:08,,
472,2018-01-02 02:56:48,,
473,2018-01-02 04:18:28,,
474,2018-01-02 05:40:08,,
475,2018-01-02 07:01:48,15.099260000000001,10.957905946184674
476,2018-01-02 08:23:28,15.201797037037037,10.88635679895844
477,2018-01-02 09:45:08,15.76,11.223777690104075
478,2018-01-02 11:06:48,15.43,12.629484960011073
479,2018-01-02 12:28:28,15.0884,14.03760659481798
480,2018-01-02 13:50:08,14.822844444444444,13.996693747384207
481,2018-01-02 15:11:48,14.555733333333333,12.807843197669301
482,2018-01-02 16:33:28,14.720711111111111,12.196587715830121
483,2018-01-02 17:55:08,14.366102962962962,12.22974837285365
484,2018-01-02 19:16:48,14.190973333333334,12.103474398642355
485,2018-01-02 20:38:28,,
486,2018-01-02 22:00:08,,
487,2018-01-02 23:21:48,,
488,2018-01-03 00:43:28,,
489,2018-01-03 02:05:08,,
490,2018-01-03 03:26:48,,
491,2018-01-03 04:48:28,,
492,2018-01-03 06:10:08,,
493,2018-01-03 07:31:48,12.614806666666667,10.967008630740699
494,2018-01-03 08:53:28,12.310088888888888,11.519441530108452
495,2018-01-03 10:15:08,11.797955555555555,12.559374183416367
496,2018-01-03 11:36:48,12.42,11.669391870498657
497,2018-01-03 12:58:28,12.84,12.04531392455101
498,2018-01-03 14:20:08,13.51,12.017349707228798
499,2018-01-03 15:41:48,12.21,12.82767376090799
500,2018-01-03 17:03:28,12.68,14.01147210597992
501,2018-01-03 18:25:08,12.806288319088319,12.30675639388557
502,2018-01-03 19:46:48,12.993353846153846,12.508678358217841
503,2018-01-03 21:08:28,,
504,2018-01-03 22:30:08,,
505,2018-01-03 23:51:48,,
506,2018-01-04 01:13:28,,
507,2018-01-04 02:35:08,,
508,2018-01-04 03:56:48,,
509,2018-01-04 05:18:28,,
510,2018-01-04 06:40:08,,
511,2018-01-04 08:01:48,14.676943589743589,14.325976037208282
512,2018-01-04 09:23:28,14.864009116809116,14.527898001540553
513,2018-01-04 10:45:08,15.051074643874642,14.729819965872824
514,2018-01-04 12:06:48,15.23814017094017,14.931741930205096
515,2018-01-04 13:28:28,15.891377777777778,14.590478109461921
516,2018-01-04 14:50:08,15.39,12.987228529793875
517,2018-01-04 16:11:48,16.4576,16.39311122894287
518,2018-01-04 17:33:28,16.95848296296296,14.490018773700388
519,2018-01-04 18:55:08,16.687168148148146,14.289251060988665
520,2018-01-04 20:16:48,,
521,2018-01-04 21:38:28,,
522,2018-01-04 23:00:08,,
523,2018-01-05 00:21:48,,
524,2018-01-05 01:43:28,,
525,2018-01-05 03:05:08,,
526,2018-01-05 04:26:48,,
527,2018-01-05 05:48:28,,
528,2018-01-05 07:10:08,14.245334814814814,12.482341646583158
529,2018-01-05 08:31:48,13.98,12.409991941281728
530,2018-01-05 09:53:28,13.16,12.922137767076492
531,2018-01-05 11:15:08,14.79,11.916043641311783
532,2018-01-05 12:36:48,13.81,10.5769875730787
533,2018-01-05 13:58:28,14.015755555555556,11.117366194725037
534,2018-01-05 15:20:08,13.69431111111111,13.698423027992249
535,2018-01-05 16:41:48,14.0446,12.497398614883423
536,2018-01-05 18:03:28,13.931991111111111,13.093768511338256
537,2018-01-05 19:25:08,13.790435555555556,13.094207557103646
538,2018-01-05 20:46:48,,
539,2018-01-05 22:08:28,,
540,2018-01-05 23:30:08,,
541,2018-01-06 00:51:48,,
542,2018-01-06 02:13:28,,
543,2018-01-06 03:35:08,,
544,2018-01-06 04:56:48,,
545,2018-01-06 06:18:28,,
546,2018-01-06 07:40:08,12.516435555555555,13.098158968992143
547,2018-01-06 09:01:48,12.4144,14.107637307473592
548,2018-01-06 10:23:28,12.115244444444444,12.056430808135442
549,2018-01-06 11:45:08,12.42,12.476288974285126
550,2018-01-06 13:06:48,9.883866666666666,11.745841256209783
551,2018-01-06 14:28:28,11.93,12.277057302849634
552,2018-01-06 15:50:08,11.64,11.673823918615069
553,2018-01-06 17:11:48,11.11,11.98511343555791
554,2018-01-06 18:33:28,11.272192592592592,11.436462508982391
555,2018-01-06 19:55:08,11.480896296296295,11.476068070502643
556,2018-01-06 21:16:48,,
557,2018-01-06 22:38:28,,
558,2018-01-07 00:00:08,,
559,2018-01-07 01:21:48,,
560,2018-01-07 02:43:28,,
561,2018-01-07 04:05:08,,
562,2018-01-07 05:26:48,,
563,2018-01-07 06:48:28,,
564,2018-01-07 08:10:08,13.35922962962963,11.832518124184903
565,2018-01-07 09:31:48,12.97,12.701150238513947
566,2018-01-07 10:53:28,13.389111111111111,12.137590736150742
567,2018-01-07 12:15:08,12.920777777777777,13.015192798205785
568,2018-01-07 13:36:48,12.138666666666667,20.094796657562256
569,2018-01-07 14:58:28,12.1,12.041356320892062
570,2018-01-07 16:20:08,12.242133333333333,13.045636900833674
571,2018-01-07 17:41:48,12.771548888888889,12.122086094948353
572,2018-01-07 19:03:28,12.574641481481482,12.019942768094664
573,2018-01-07 20:25:08,,
574,2018-01-07 21:46:48,,
575,2018-01-07 23:08:28,,
576,2018-01-08 00:30:08,,
577,2018-01-08 01:51:48,,
578,2018-01-08 03:13:28,,
579,2018-01-08 04:35:08,,
580,2018-01-08 05:56:48,,
581,2018-01-08 07:18:28,10.802474814814815,11.100652826411464
582,2018-01-08 08:40:08,10.63,10.926404646464757
583,2018-01-08 10:01:48,10.4448,10.156499690243177
584,2018-01-08 11:23:28,16.93,11.690837110791888
585,2018-01-08 12:45:08,9.53,10.627928731838862
